date,route type,ridership counts,econ_index,Precipitation,Temperature,GasPrice,InSrvHrs,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6
1/1/08,express,704870,152,0.09,9.9,2.951,18478.35,2.907,3.042,2.8,2.962,2.883,3.036
2/1/08,express,728665,152.12,0.47,10.8,2.983,17729.44,2.951,2.907,3.042,2.8,2.962,2.883
3/1/08,express,734783,152.15,0.79,24.1,3.102,17843.94,2.983,2.951,2.907,3.042,2.8,2.962
4/1/08,express,809820,152.11,3.9,40.1,3.363,18596.64,3.102,2.983,2.951,2.907,3.042,2.8
5/1/08,express,764163,152.03,3.09,51.7,3.68,17818.3,3.363,3.102,2.983,2.951,2.907,3.042
6/1/08,express,783473,151.94,4.8,63,3.938,17756.69,3.68,3.363,3.102,2.983,2.951,2.907
7/1/08,express,815674,151.84,2.99,68.6,3.897,18577.95,3.938,3.68,3.363,3.102,2.983,2.951
8/1/08,express,1152533,151.7,2.22,66.9,3.651,17832.71,3.897,3.938,3.68,3.363,3.102,2.983
9/1/08,express,855616,151.42,3.9,58.8,3.612,18021.17,3.651,3.897,3.938,3.68,3.363,3.102
10/1/08,express,877834,150.95,2.96,46.4,2.749,19778.69,3.612,3.651,3.897,3.938,3.68,3.363
11/1/08,express,678658,150.26,1.23,31.6,1.967,15931.23,2.749,3.612,3.651,3.897,3.938,3.68
12/1/08,express,692031,149.34,1.53,8.5,1.687,17766.43,1.967,2.749,3.612,3.651,3.897,3.938
1/1/09,express,723097,148.26,0.44,2.3,1.828,18219.29,1.687,1.967,2.749,3.612,3.651,3.897
2/1/09,express,703316,147.26,0.97,16.6,1.929,17364.2,1.828,1.687,1.967,2.749,3.612,3.651
3/1/09,express,757260,146.42,2.62,27.1,1.955,18903.22,1.929,1.828,1.687,1.967,2.749,3.612
4/1/09,express,757876,145.75,1.44,42.9,2.029,18872.44,1.955,1.929,1.828,1.687,1.967,2.749
5/1/09,express,668562,145.22,1.08,54.4,2.284,17277.67,2.029,1.955,1.929,1.828,1.687,1.967
6/1/09,express,723675,144.8,2.9,62.3,2.605,18751.04,2.284,2.029,1.955,1.929,1.828,1.687
7/1/09,express,713892,144.51,3.66,64.3,2.428,18922.94,2.605,2.284,2.029,1.955,1.929,1.828
8/1/09,express,886336,144.33,4.92,64.4,2.553,18024.53,2.428,2.605,2.284,2.029,1.955,1.929
9/1/09,express,988653,144.26,0.72,63.1,2.461,18193.09,2.553,2.428,2.605,2.284,2.029,1.955
10/1/09,express,765105,144.25,5.68,40.4,2.523,19292.42,2.461,2.553,2.428,2.605,2.284,2.029
11/1/09,express,668375,144.26,0.8,38.6,2.636,16828.47,2.523,2.461,2.553,2.428,2.605,2.284
12/1/09,express,666785,144.29,1.67,13.9,2.547,18285.03,2.636,2.523,2.461,2.553,2.428,2.605
1/1/10,express,674448,144.34,0.63,10.3,2.722,17286.73,2.547,2.636,2.523,2.461,2.553,2.428
2/1/10,express,702475,144.48,0.42,15.9,2.637,17299.42,2.722,2.547,2.636,2.523,2.461,2.553
3/1/10,express,841844,144.73,0.92,37.5,2.795,19747.12,2.637,2.722,2.547,2.636,2.523,2.461
4/1/10,express,777680,145.08,1.33,50,2.832,18879.5,2.795,2.637,2.722,2.547,2.636,2.523
5/1/10,express,696029,145.45,3.16,56.4,2.787,17222.67,2.832,2.795,2.637,2.722,2.547,2.636
6/1/10,express,753966,145.8,5.6,63.7,2.709,18593.7,2.787,2.832,2.795,2.637,2.722,2.547
7/1/10,express,688646,146.12,5.11,70.8,2.721,17918.11,2.709,2.787,2.832,2.795,2.637,2.722
8/1/10,express,957057,146.43,6.15,70.6,2.717,18645.63,2.721,2.709,2.787,2.832,2.795,2.637
9/1/10,express,990020,146.75,4.69,55,2.786,18019.83,2.717,2.721,2.709,2.787,2.832,2.795
10/1/10,express,757405,147.08,3.31,49.2,2.88,18120.74,2.786,2.717,2.721,2.709,2.787,2.832
11/1/10,express,724415,147.44,1.59,31.7,2.842,17430.47,2.88,2.786,2.717,2.721,2.709,2.787
12/1/10,express,679921,147.83,1.87,12.9,2.998,18775.58,2.842,2.88,2.786,2.717,2.721,2.709
1/1/11,express,731609,148.27,0.85,7,3.141,19157.32002,2.998,2.842,2.88,2.786,2.717,2.721
2/1/11,express,696275,148.71,0.57,14.9,3.258,18310.27002,3.141,2.998,2.842,2.88,2.786,2.717
3/1/11,express,872038,149.12,1.27,24.7,3.557,20895.99002,3.258,3.141,2.998,2.842,2.88,2.786
4/1/11,express,775862,149.52,2.56,41.8,3.813,19242.23002,3.557,3.258,3.141,2.998,2.842,2.88
5/1/11,express,726141,149.87,5.49,53.5,3.895,19200.77001,3.813,3.557,3.258,3.141,2.998,2.842
6/1/11,express,756239,150.21,3.72,62.7,3.669,19945.25001,3.895,3.813,3.557,3.258,3.141,2.998
7/1/11,express,666200,150.55,5.85,73,3.726,18338.93001,3.669,3.895,3.813,3.557,3.258,3.141
8/1/11,express,1111865,150.91,4.75,68.3,3.722,20829.02001,3.726,3.669,3.895,3.813,3.557,3.258
9/1/11,express,1003880,151.27,0.87,57.6,3.725,18873.73,3.722,3.726,3.669,3.895,3.813,3.557
10/1/11,express,781875,151.65,1.21,50.5,3.508,18826.4,3.725,3.722,3.726,3.669,3.895,3.813
11/1/11,express,745184,152.02,0.41,34.1,3.34,18148.25,3.508,3.725,3.722,3.726,3.669,3.895
12/1/11,express,690301,152.39,0.4,23.5,3.229,19010.62,3.34,3.508,3.725,3.722,3.726,3.669
1/1/12,express,756385,152.76,0.55,18.9,3.296,18905.36,3.229,3.34,3.508,3.725,3.722,3.726
2/1/12,express,685838,153.13,1.15,24.3,3.474,18831.51,3.296,3.229,3.34,3.508,3.725,3.722
3/1/12,express,715702,153.49,1.58,42.1,3.703,19828.7,3.474,3.296,3.229,3.34,3.508,3.725
4/1/12,express,760171,153.81,3.07,45.4,3.756,19028.49,3.703,3.474,3.296,3.229,3.34,3.508
5/1/12,express,765249,154.1,9.53,58.2,3.639,19760.43,3.756,3.703,3.474,3.296,3.229,3.34
6/1/12,express,716649,154.41,6.6,66.5,3.593,18809.32,3.639,3.756,3.703,3.474,3.296,3.229
7/1/12,express,689033,154.76,4.68,74.3,3.561,18817.93,3.593,3.639,3.756,3.703,3.474,3.296
8/1/12,express,1096810,155.16,1.79,67,3.756,20484.48,3.561,3.593,3.639,3.756,3.703,3.474
9/1/12,express,865273,155.61,0.64,57.6,3.891,17418.48,3.756,3.561,3.593,3.639,3.756,3.703
10/1/12,express,849503,156.07,1.19,43.7,3.678,20804.98,3.891,3.756,3.561,3.593,3.639,3.756
11/1/12,express,727578,156.53,0.97,32.2,3.299,18397.68,3.678,3.891,3.756,3.561,3.593,3.639
12/1/12,express,628217,156.97,1.22,18.6,3.183,17663.04,3.299,3.678,3.891,3.756,3.561,3.593
1/1/13,express,758436,157.4,0.78,12.4,3.137,19935.55,3.183,3.299,3.678,3.891,3.756,3.561
2/1/13,express,712976,157.79,0.98,14.5,3.697,18295.8,3.137,3.183,3.299,3.678,3.891,3.756
3/1/13,express,739686,158.14,1.92,22.1,3.665,19353.2,3.697,3.137,3.183,3.299,3.678,3.891
4/1/13,express,813928,158.46,3.24,34.8,3.544,20213.84,3.665,3.697,3.137,3.183,3.299,3.678
5/1/13,express,813240,158.81,4,52.9,3.986,20264.71,3.544,3.665,3.697,3.137,3.183,3.299
6/1/13,express,716303,159.14,6.2,63,3.726,18556.45,3.986,3.544,3.665,3.697,3.137,3.183
7/1/13,express,752740,159.49,2.37,69,3.562,19714.94,3.726,3.986,3.544,3.665,3.697,3.137
8/1/13,express,1055236,159.88,1.45,68.2,3.577,20388.74,3.562,3.726,3.986,3.544,3.665,3.697
9/1/13,express,878590,160.3,2.62,61.3,3.54,18834.56,3.577,3.562,3.726,3.986,3.544,3.665
10/1/13,express,869153,160.73,4.41,45.3,3.318,21516.55,3.54,3.577,3.562,3.726,3.986,3.544
11/1/13,express,710051,161.14,0.54,28.4,3.143,18083.97,3.318,3.54,3.577,3.562,3.726,3.986
12/1/13,express,667850,161.54,1.89,5.9,3.113,18966.09,3.143,3.318,3.54,3.577,3.562,3.726
1/1/14,express,711722,161.91,0.76,2.1,3.272,20672.56,3.113,3.143,3.318,3.54,3.577,3.562
2/1/14,express,699568,162.24,1.17,4.3,3.343,19076.02,3.272,3.113,3.143,3.318,3.54,3.577
3/1/14,express,760752,162.6,1.06,19.7,3.558,19968.17,3.343,3.272,3.113,3.143,3.318,3.54
4/1/14,express,793433,163.02,4.67,37.5,3.569,20879.87,3.558,3.343,3.272,3.113,3.143,3.318
5/1/14,express,739720,163.53,4.91,54.2,3.548,20144.44,3.569,3.558,3.343,3.272,3.113,3.143
